eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,country,countryCode,stateProvince,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters
2026-01-12T18:07:41Z,18:07:41+08:00,12,12,2026,1,12,12/01/2026 18:07,Australia,AU,Western Australia,-20.9,115.6,EPSG:4326,10000
2026-01-08T22:30:47Z,22:30:47+08:00,8,8,2026,1,8,8/01/2026 22:30,Australia,AU,Western Australia,-20.3,118.8,EPSG:4326,10000
2026-01-11T18:17:51Z,18:17:51+08:00,11,11,2026,1,11,11/01/2026 18:17,Australia,AU,Western Australia,-21,115.4,EPSG:4326,10000
2026-02-03T12:15:00Z,12:15:00+10:00,34,34,2026,2,3,3/02/2026 12:15,Australia,AU,,-16.068053,145.575854,EPSG:4326,244
2025-11-20T21:15:56Z,21:15:56+08:00,324,324,2025,11,20,20/11/2025 21:15,Australia,AU,Western Australia,-20.4,118.7,EPSG:4326,10000
2025-10-05T17:58:06Z,17:58:06+10:00,278,278,2025,10,5,2025-10-05 17:58:06+10:00,Australia,AU,Queensland,-10.995549,142.115437,EPSG:4326,62
2025-12-12T18:55:33Z,18:55:33+08:00,346,346,2025,12,12,12/12/2025 18:55,Australia,AU,Western Australia,-20.4,118,EPSG:4326,10000
2025-12-30T18:44:38Z,18:44:38+08:00,364,364,2025,12,30,30/12/2025 18:44,Australia,AU,Western Australia,-20.6,115.5,EPSG:4326,10000
2025-10-30T18:07:47Z,18:07:47+10:00,303,303,2025,10,30,30/10/2025 18:07,Australia,AU,Queensland,-21.968643,149.662412,EPSG:4326,
2025-12-30T18:41:54Z,18:41:54+08:00,364,364,2025,12,30,30/12/2025 18:41,Australia,AU,Western Australia,-20.8,115.5,EPSG:4326,10000
2025-11-14T05:43:53Z,05:43:53+10:00,318,318,2025,11,14,14/11/2025 5:43,Australia,AU,Queensland,-24.711201,152.269631,EPSG:4326,3665
2025-07-01T07:27:17Z,07:27:17+08:00,182,182,2025,7,1,1/07/2025 7:27,Australia,AU,Western Australia,-14.6,125,EPSG:4326,10000
2025-11-15T18:17:15Z,18:17:15+08:00,319,319,2025,11,15,15/11/2025 18:17,Australia,AU,Western Australia,-20.2,118.6,EPSG:4326,10000
2025-12-14T07:54:19Z,07:54:19+08:00,348,348,2025,12,14,14/12/2025 7:54,Australia,AU,Western Australia,-20.2,118.7,EPSG:4326,10000
2025-12-08T18:12:03Z,18:12:03+10:00,342,342,2025,12,8,8/12/2025 18:12,Australia,AU,Queensland,-23.343392,150.933517,EPSG:4326,5
2025-12-02T18:24:16Z,18:24:16+10:00,336,336,2025,12,2,2/12/2025 18:24,Australia,AU,Queensland,-23.343092,150.934005,EPSG:4326,4
2025-11-30T11:13:06Z,11:13:06+08:00,334,334,2025,11,30,30/11/2025 11:13,Australia,AU,Western Australia,-20.9,115.5,EPSG:4326,10000
2025-11-13T09:50:56Z,09:50:56+10:00,317,317,2025,11,13,13/11/2025 9:50,Australia,AU,Queensland,-16.39137,145.555518,EPSG:4326,861
2025-12-30T19:14:00Z,19:14:00+08:00,364,364,2025,12,30,30/12/2025 19:14,Australia,AU,Western Australia,-20.7,115.5,EPSG:4326,10000
2025-07-16T07:26:34Z,07:26:34+08:00,197,197,2025,7,16,16/07/2025 7:26,Australia,AU,Western Australia,-20.7,115.5,EPSG:4326,10000
2024-06-26T16:44:22Z,16:44:22+08:00,178,178,2024,6,26,2024-06-26 18:44:22+10:00,Australia,AU,Western Australia,-18.1,122.3,EPSG:4326,10000
2024-11-22T16:38:13Z,16:38:13+10:00,327,327,2024,11,22,2024-11-22 16:38:13+10:00,Australia,AU,Queensland,-21.977722,149.665667,EPSG:4326,47
2024-12-22T23:00:56Z,23:00:56+10:00,357,357,2024,12,22,2024-12-22 23:00:56+10:00,Australia,AU,Queensland,-24.794763,152.44037,EPSG:4326,7
2024-12-07T04:39:00Z,04:39:00+10:00,342,342,2024,12,7,7/12/2024 4:39,Australia,AU,Queensland,-21.979736,149.665572,EPSG:4326,6
2024-09-02T17:10:00Z,17:10:00+10:00,246,246,2024,9,2,2/09/2024 17:10,Australia,AU,Queensland,-12,142.5,EPSG:4326,209
2024-11-27T17:32:16Z,17:32:16+10:00,332,332,2024,11,27,2024-11-27 17:32:16+10:00,Australia,AU,Queensland,-21.970713,149.663218,EPSG:4326,44
2024-12-01T22:35:34Z,22:35:34+10:00,336,336,2024,12,1,2024-12-01 22:35:34+10:00,Australia,AU,Queensland,-23.342975,150.933747,EPSG:4326,3
2024-09-03T13:33:00Z,13:33:00+10:00,247,247,2024,9,3,3/09/2024 13:33,Australia,AU,Queensland,-10.83878,142.316592,EPSG:4326,488
2024-09-02T17:45:00Z,17:45:00+10:00,246,246,2024,9,2,2/09/2024 17:45,Australia,AU,Queensland,-12,142.5,EPSG:4326,209
2024-02-04T04:38:28Z,04:38:28+10:00,35,35,2024,2,4,2024-02-04 04:38:28+10:00,Australia,AU,Queensland,-24.798836,152.444098,EPSG:4326,227
2024-12-01T05:57:41Z,05:57:41+08:00,336,336,2024,12,1,1/12/2024 5:57,Australia,AU,Western Australia,-20.2,118.7,EPSG:4326,10000
2024-12-02T00:12:10Z,00:12:10+10:00,337,337,2024,12,2,2/12/2024 0:12,Australia,AU,Queensland,-21.979809,149.665413,EPSG:4326,
2024-09-04T18:51:07Z,18:51:07+09:30,248,248,2024,9,4,2024-09-04 18:51:07+09:30,Australia,AU,Northern Territory,-12.538687,130.418625,EPSG:4326,3
2024-12-09T18:50:40Z,18:50:40+08:00,344,344,2024,12,9,9/12/2024 18:50,Australia,AU,Western Australia,-20.9,115.4,EPSG:4326,10000
2024-09-26T10:51:36Z,10:51:36+08:00,270,270,2024,9,26,26/09/2024 10:51,Australia,AU,Western Australia,-13.8,126.2,EPSG:4326,10000
2024-12-08T04:37:00Z,04:37:00+10:00,343,343,2024,12,8,8/12/2024 4:37,Australia,AU,Queensland,-21.980403,149.665511,EPSG:4326,9
2024-09-10T00:00:00Z,,254,254,2024,9,10,10/09/2024,Australia,AU,Queensland,-10.97801,142.102359,EPSG:4326,488
2024-10-16T08:29:37Z,08:29:37+08:00,290,290,2024,10,16,Wed Oct 16 2024 08:29:37 GMT +0800 (GMT),Australia,AU,Western Australia,-19.6,120.8,EPSG:4326,10000
2024-07-24T18:06:00Z,18:06:00+09:30,206,206,2024,7,24,24/07/2024 18:06,Australia,AU,Northern Territory,-12.536758,130.416144,EPSG:4326,1000
2024-09-12T13:30:00Z,13:30:00+08:00,256,256,2024,9,12,12/09/2024 13:30,Australia,AU,Western Australia,-18,122.2,EPSG:4326,10000
2024-11-12T00:10:00Z,00:10:00+08:00,317,317,2024,11,12,12/11/2024 0:10,Australia,AU,Western Australia,-19.7,120.8,EPSG:4326,10000
2024-07-20T18:41:26Z,18:41:26+09:30,202,202,2024,7,20,2024-07-20 18:41:26+09:30,Australia,AU,Northern Territory,-12.170445,131.155533,EPSG:4326,4
2024-12-22T20:53:11Z,20:53:11+10:00,357,357,2024,12,22,22/12/2024 20:53,Australia,AU,Queensland,-19.241663,146.807595,EPSG:4326,152
2024-01-25T06:17:02Z,06:17:02+08:00,25,25,2024,1,25,25/01/2024 6:17,Australia,AU,Western Australia,-20.3,118.6,EPSG:4326,10000
2024-11-14T22:11:55Z,22:11:55+10:00,319,319,2024,11,14,2024-11-14 22:11:55+10:00,Australia,AU,Queensland,-21.97928,149.665453,EPSG:4326,14
2024-01-22T14:00:00Z,554,22,22,2024,1,22,,Australia,AU,Queensland,-24.186849,151.896766,EPSG:4326,
2023-08-07T21:25:00Z,21:25:00+08:00,219,219,2023,8,7,7/08/2023 21:25,Australia,AU,Western Australia,-15.1,124.3,EPSG:4326,10000
2023-11-27T21:59:00Z,21:59:00+08:00,331,331,2023,11,27,27/11/2023 21:59,Australia,AU,Western Australia,-21.6,114.8,EPSG:4326,10000
2023-11-25T06:38:00Z,06:38:00+08:00,329,329,2023,11,25,25/11/2023 6:38,Australia,AU,Western Australia,-20.4,118.7,EPSG:4326,10000
2023-06-17T18:25:22Z,18:25:22+09:30,168,168,2023,6,17,2023-06-17 18:25:22+09:30,Australia,AU,Northern Territory,-12.532355,130.420272,EPSG:4326,5
2023-12-06T17:46:00Z,17:46:00+08:00,340,340,2023,12,6,6/12/2023 17:46,Australia,AU,Western Australia,-20.2,118.6,EPSG:4326,10000
2023-11-24T17:43:41Z,17:43:41+10:00,328,328,2023,11,24,24/11/2023 17:43,Australia,AU,Queensland,-23.343306,150.937279,EPSG:4326,376
2023-12-06T18:08:00Z,18:08:00+08:00,340,340,2023,12,6,6/12/2023 18:08,Australia,AU,Western Australia,-20.4,118.7,EPSG:4326,10000
2023-12-06T17:54:00Z,17:54:00+08:00,340,340,2023,12,6,6/12/2023 17:54,Australia,AU,Western Australia,-20.4,118.8,EPSG:4326,10000
2023-11-25T06:41:00Z,06:41:00+08:00,329,329,2023,11,25,25/11/2023 6:41,Australia,AU,Western Australia,-20.2,118.8,EPSG:4326,10000
2023-11-25T06:37:00Z,06:37:00+08:00,329,329,2023,11,25,25/11/2023 6:37,Australia,AU,Western Australia,-20.4,118.7,EPSG:4326,10000
2023-11-25T07:14:00Z,07:14:00+08:00,329,329,2023,11,25,25/11/2023 7:14,Australia,AU,Western Australia,-20.2,118.7,EPSG:4326,10000
2023-11-25T06:28:00Z,06:28:00+08:00,329,329,2023,11,25,25/11/2023 6:28,Australia,AU,Western Australia,-20.2,118.7,EPSG:4326,10000
2023-12-06T17:11:00Z,17:11:00+08:00,340,340,2023,12,6,6/12/2023 17:11,Australia,AU,Western Australia,-20.2,118.7,EPSG:4326,10000
2023-12-06T17:38:00Z,17:38:00+08:00,340,340,2023,12,6,6/12/2023 17:38,Australia,AU,Western Australia,-20.2,118.7,EPSG:4326,10000
2023-01-09T19:48:00Z,19:48:00+10:00,9,9,2023,1,9,9/01/2023 19:48,Australia,AU,Queensland,-21.060226,149.196286,EPSG:4326,31
2023-07-07T20:44:00Z,20:44:00+09:30,188,188,2023,7,7,7/07/2023 20:44,Australia,AU,Northern Territory,-12.536263,130.421018,EPSG:4326,837
2023-11-25T07:17:00Z,07:17:00+08:00,329,329,2023,11,25,25/11/2023 7:17,Australia,AU,Western Australia,-20.3,118.6,EPSG:4326,10000
2023-12-06T18:20:59Z,18:20:59+08:00,340,340,2023,12,6,6/12/2023 18:20,Australia,AU,Western Australia,-20.2,118.8,EPSG:4326,10000
2023-11-26T20:23:55Z,20:23:55+08:00,330,330,2023,11,26,26/11/2023 20:23,Australia,AU,Western Australia,-20.2,118.7,EPSG:4326,10000
2023-11-25T06:30:00Z,06:30:00+08:00,329,329,2023,11,25,25/11/2023 6:30,Australia,AU,Western Australia,-20.2,118.6,EPSG:4326,10000
2023-11-25T06:28:00Z,06:28:00+08:00,329,329,2023,11,25,25/11/2023 6:28,Australia,AU,Western Australia,-20.3,118.6,EPSG:4326,10000
2023-12-02T22:55:33Z,22:55:33+08:00,336,336,2023,12,2,2/12/2023 22:55,Australia,AU,Western Australia,-20.5,118.5,EPSG:4326,10000
2023-11-26T20:04:10Z,20:04:10+08:00,330,330,2023,11,26,26/11/2023 20:04,Australia,AU,Western Australia,-20.2,118.8,EPSG:4326,10000
2023-07-05T19:01:24Z,19:01:24+09:30,186,186,2023,7,5,2023-07-05 19:01:24+09:30,Australia,AU,Northern Territory,-12.535,130.419073,EPSG:4326,
2023-11-25T06:30:00Z,06:30:00+08:00,329,329,2023,11,25,25/11/2023 6:30,Australia,AU,Western Australia,-20.2,118.8,EPSG:4326,10000
2023-11-25T06:29:00Z,06:29:00+08:00,329,329,2023,11,25,25/11/2023 6:29,Australia,AU,Western Australia,-20.3,118.6,EPSG:4326,10000
2023-11-25T06:32:00Z,06:32:00+08:00,329,329,2023,11,25,25/11/2023 6:32,Australia,AU,Western Australia,-20.3,118.8,EPSG:4326,10000
2023-11-25T06:39:00Z,06:39:00+08:00,329,329,2023,11,25,25/11/2023 6:39,Australia,AU,Western Australia,-20.3,118.7,EPSG:4326,10000
2023-08-21T17:37:03Z,17:37:03+09:30,233,233,2023,8,21,2023-08-21 17:37:03+09:30,Australia,AU,Northern Territory,-12.538661,130.418578,EPSG:4326,100
2023-01-11T06:08:00Z,06:08:00+08:00,11,11,2023,1,11,11/01/2023 6:08,Australia,AU,Western Australia,-20.3,118.7,EPSG:4326,10000
2023-11-25T07:11:00Z,07:11:00+08:00,329,329,2023,11,25,25/11/2023 7:11,Australia,AU,Western Australia,-20.3,118.7,EPSG:4326,10000
2023-11-25T07:31:00Z,07:31:00+08:00,329,329,2023,11,25,25/11/2023 7:31,Australia,AU,Western Australia,-20.3,118.6,EPSG:4326,10000
2023-09-21T21:14:00Z,21:14:00+08:00,264,264,2023,9,21,21/09/2023 21:14,Australia,AU,Western Australia,-15.2,125.3,EPSG:4326,10000
2023-12-06T17:26:00Z,17:26:00+08:00,340,340,2023,12,6,6/12/2023 17:26,Australia,AU,Western Australia,-20.3,118.7,EPSG:4326,10000
2023-11-25T07:14:00Z,07:14:00+08:00,329,329,2023,11,25,25/11/2023 7:14,Australia,AU,Western Australia,-20.3,118.6,EPSG:4326,10000
2023-11-25T06:46:00Z,06:46:00+08:00,329,329,2023,11,25,25/11/2023 6:46,Australia,AU,Western Australia,-20.3,118.7,EPSG:4326,10000
2023-07-07T19:03:00Z,19:03:00+09:30,188,188,2023,7,7,7/07/2023 19:03,Australia,AU,Northern Territory,-12.536263,130.421018,EPSG:4326,837
2023-07-05T17:38:58Z,17:38:58+09:30,186,186,2023,7,5,2023-07-05 17:38:58+09:30,Australia,AU,Northern Territory,-12.535422,130.419945,EPSG:4326,557
2023-09-23T09:13:00Z,09:13:00+08:00,266,266,2023,9,23,23/09/2023 9:13,Australia,AU,Western Australia,-14.2,125.4,EPSG:4326,10000
2023-12-06T18:18:00Z,18:18:00+08:00,340,340,2023,12,6,6/12/2023 18:18,Australia,AU,Western Australia,-20.3,118.6,EPSG:4326,10000
2023-12-06T17:57:00Z,17:57:00+08:00,340,340,2023,12,6,6/12/2023 17:57,Australia,AU,Western Australia,-20.3,118.8,EPSG:4326,10000
2023-02-17T10:12:30Z,10:12:30+08:00,48,48,2023,2,17,2023-02-17 10:12:30+08:00,Australia,AU,Western Australia,-20.7,115.5,EPSG:4326,10000
2023-11-26T20:25:54Z,20:25:54+08:00,330,330,2023,11,26,26/11/2023 20:25,Australia,AU,Western Australia,-20.2,118.7,EPSG:4326,10000
2023-11-06T14:00:00Z,545,310,310,2023,11,6,,Australia,AU,Queensland,-24.21888,151.92267,EPSG:4326,
2023-11-13T14:00:00Z,6:30,317,317,2023,11,13,,Australia,AU,Queensland,-24.17321,151.89341,EPSG:4326,
2023-11-04T14:00:00Z,,308,308,2023,11,4,,Australia,AU,Queensland,-24.200394,151.901498,EPSG:4326,
2023-11-08T14:00:00Z,9am,312,312,2023,11,8,,Australia,AU,Queensland,-24.45508,152.01776,EPSG:4326,
2023-11-06T14:00:00Z,8.59am,310,310,2023,11,6,,Australia,AU,Queensland,-24.465936,152.02296,EPSG:4326,
2023-12-18T14:00:00Z,05.00am,352,352,2023,12,18,,Australia,AU,Queensland,-24.2003,151.9014,EPSG:4326,
2023-11-22T14:00:00Z,600,326,326,2023,11,22,,Australia,AU,Queensland,-24.21226,151.91966,EPSG:4326,
2023-11-13T14:00:00Z,6:30,317,317,2023,11,13,,Australia,AU,Queensland,-24.17109,151.89288,EPSG:4326,
2023-11-05T14:00:00Z,,309,309,2023,11,5,,Australia,AU,Queensland,-24.19229,151.89838,EPSG:4326,
2023-11-27T14:00:00Z,6:20,331,331,2023,11,27,,Australia,AU,Queensland,-24.178686,151.894694,EPSG:4326,
2023-12-01T14:00:00Z,10.35am,335,335,2023,12,1,,Australia,AU,Queensland,-24.208516,151.906546,EPSG:4326,
2023-12-18T14:00:00Z,4.45,352,352,2023,12,18,,Australia,AU,Queensland,-24.204678,151.903703,EPSG:4326,
2023-11-14T14:00:00Z,,318,318,2023,11,14,,Australia,AU,Queensland,-24.196676,151.899977,EPSG:4326,
2023-01-02T14:00:00Z,1:21 PM,2,2,2023,1,2,,Australia,AU,Queensland,-23.033297,150.772164,EPSG:4326,
2023-07-27T14:00:00Z,,208,208,2023,7,27,,Australia,AU,Queensland,-24.245612,151.912211,EPSG:4326,
2023-01-12T14:00:00Z,,12,12,2023,1,12,,Australia,AU,Queensland,-23.17511,150.93708,EPSG:4326,
2023-01-06T14:00:00Z,,6,6,2023,1,6,,Australia,AU,Queensland,-23.243979,150.824324,EPSG:4326,
2023-01-25T14:00:00Z,,25,25,2023,1,25,,Australia,AU,Queensland,-23.047455,150.879565,EPSG:4326,
2023-01-08T14:00:00Z,4:43 PM,8,8,2023,1,8,,Australia,AU,Queensland,-23.293547,150.803456,EPSG:4326,
2023-01-01T14:00:00Z,4:53 PM,1,1,2023,1,1,,Australia,AU,Queensland,-23.291253,150.804778,EPSG:4326,
2023-01-15T14:00:00Z,10:36 AM,15,15,2023,1,15,,Australia,AU,Queensland,-23.972295,151.411257,EPSG:4326,
2023-01-04T14:00:00Z,,4,4,2023,1,4,,Australia,AU,Queensland,-23.157008,150.965908,EPSG:4326,
2023-07-23T14:00:00Z,3:33 AM,204,204,2023,7,23,,Australia,AU,Queensland,-24.359087,151.299178,EPSG:4326,
2023-01-07T14:00:00Z,5:12 AM,7,7,2023,1,7,,Australia,AU,Queensland,-23.259928,150.828633,EPSG:4326,
2023-01-02T14:00:00Z,6:30 AM,2,2,2023,1,2,,Australia,AU,Queensland,-22.131823,150.049424,EPSG:4326,
2023-01-01T14:00:00Z,10:05 AM,1,1,2023,1,1,,Australia,AU,Queensland,-23.17065,150.95286,EPSG:4326,
2023-01-05T14:00:00Z,7:01 AM,5,5,2023,1,5,,Australia,AU,Queensland,-23.18051,150.9346,EPSG:4326,
2022-09-07T13:35:18Z,,250,250,2022,9,7,,Australia,AU,Western Australia,-18,122.3,EPSG:4326,10000
2022-11-09T14:00:00Z,,313,313,2022,11,9,,Australia,AU,Queensland,-24.191275,151.898042,EPSG:4326,
2022-12-18T16:00:00Z,6:25 PM,352,352,2022,12,18,,Australia,AU,Western Australia,-20.3,118.6,EPSG:4326,10000
2022-01-09T00:00:00Z,13:00:00/14:19:00,9,73,2022,,,,Australia,AU,New South Wales,-32.72363,152.15289,EPSG:4326,200
2022-12-29T14:00:00Z,9:02 AM,363,363,2022,12,29,,Australia,AU,Queensland,-23.150424,150.765229,EPSG:4326,
2022-01-02T18:24:10Z,,2,2,2022,1,2,,Australia,AU,Queensland,-23.229538,150.820038,EPSG:4326,
2022-01-05T14:00:00Z,,5,5,2022,1,5,,Australia,AU,Queensland,-23.19235,150.94522,EPSG:4326,
2022-11-30T14:00:00Z,500,334,334,2022,11,30,,Australia,AU,Queensland,-23.226808,150.818781,EPSG:4326,
2022-11-09T14:00:00Z,,313,313,2022,11,9,,Australia,AU,Queensland,-23.190257,150.792334,EPSG:4326,
2022-12-26T14:00:00Z,12:30 PM,360,360,2022,12,26,,Australia,AU,Queensland,-23.96476,151.401127,EPSG:4326,
2022-12-16T14:00:00Z,4:35 AM,350,350,2022,12,16,,Australia,AU,Queensland,-23.2455,150.824069,EPSG:4326,
2022-11-04T14:00:00Z,11:41 AM,308,308,2022,11,4,,Australia,AU,Queensland,-23.018792,150.772486,EPSG:4326,
2022-12-16T14:00:00Z,3:06 PM,350,350,2022,12,16,,Australia,AU,Queensland,-23.16546,150.95542,EPSG:4326,
2022-01-04T14:00:00Z,,4,4,2022,1,4,,Australia,AU,Queensland,-23.24027,150.8253,EPSG:4326,
2022-12-15T14:00:00Z,500,349,349,2022,12,15,,Australia,AU,Queensland,-23.227749,150.818939,EPSG:4326,
2022-11-21T14:00:00Z,1:06 PM,325,325,2022,11,21,,Australia,AU,Queensland,-23.1722,150.94875,EPSG:4326,
2022-01-27T14:00:00Z,,27,27,2022,1,27,,Australia,AU,Queensland,-23.047204,150.879273,EPSG:4326,
2022-11-26T14:00:00Z,7.00pm,330,330,2022,11,26,,Australia,AU,Queensland,-23.193751,150.943447,EPSG:4326,
2022-01-02T14:00:00Z,,2,2,2022,1,2,,Australia,AU,Queensland,-22.131453,150.051925,EPSG:4326,
2022-10-31T14:00:00Z,10.30am,304,304,2022,10,31,,Australia,AU,Queensland,-23.17179,150.94364,EPSG:4326,
2022-12-22T14:00:00Z,1:11 PM,356,356,2022,12,22,,Australia,AU,Queensland,-23.955192,151.384629,EPSG:4326,
2022-11-17T14:00:00Z,1.30am,321,321,2022,11,17,,Australia,AU,Queensland,-23.19364,150.94062,EPSG:4326,
2022-10-31T14:00:00Z,4:19 AM,304,304,2022,10,31,,Australia,AU,Queensland,-23.246911,150.823964,EPSG:4326,
2022-11-27T14:00:00Z,8:24 AM,331,331,2022,11,27,,Australia,AU,Queensland,-23.1742,150.937454,EPSG:4326,
2022-12-22T14:00:00Z,1:32 PM,356,356,2022,12,22,,Australia,AU,Queensland,-23.02782,150.77207,EPSG:4326,
2022-11-29T14:00:00Z,7.30pm ,333,333,2022,11,29,,Australia,AU,Queensland,-23.17225,150.94641,EPSG:4326,
2022-12-15T14:00:00Z,,349,349,2022,12,15,,Australia,AU,Queensland,-23.246423,150.823997,EPSG:4326,
2022-12-24T14:00:00Z,,358,358,2022,12,24,,Australia,AU,Queensland,-22.13251,150.05024,EPSG:4326,
2022-11-23T14:00:00Z,5:46 AM,327,327,2022,11,23,,Australia,AU,Queensland,-23.14625,150.764056,EPSG:4326,
2022-11-18T14:00:00Z,10:00 PM,322,322,2022,11,18,,Australia,AU,Queensland,-22.134609,150.052594,EPSG:4326,
2022-12-25T14:00:00Z,5:30,359,359,2022,12,25,,Australia,AU,Queensland,-23.957944,151.38858,EPSG:4326,
2022-01-09T08:06:38Z,,9,9,2022,1,9,,Australia,AU,Queensland,-23.961626,151.394087,EPSG:4326,
2022-12-10T14:00:00Z,4:49 AM,344,344,2022,12,10,,Australia,AU,Queensland,-23.967802,151.406503,EPSG:4326,
2022-12-20T14:00:00Z,9:06 AM,354,354,2022,12,20,,Australia,AU,Queensland,-23.020431,150.772147,EPSG:4326,
2022-12-31T14:00:00Z,,365,365,2022,12,31,,Australia,AU,Queensland,-22.13257,150.050288,EPSG:4326,
2022-12-26T14:00:00Z,6:30 AM,360,360,2022,12,26,,Australia,AU,Queensland,-22.132384,150.05004,EPSG:4326,
2022-11-13T14:00:00Z,530,317,317,2022,11,13,,Australia,AU,Queensland,-23.235351,150.820769,EPSG:4326,
2022-11-19T14:00:00Z,6:20 PM,323,323,2022,11,19,,Australia,AU,Queensland,-22.134401,150.052162,EPSG:4326,
2022-11-04T14:00:00Z,3:50 AM,308,308,2022,11,4,,Australia,AU,Queensland,-23.247053,150.823794,EPSG:4326,
2022-12-08T14:00:00Z,11:45 AM,342,342,2022,12,8,,Australia,AU,Queensland,-23.00334,150.77458,EPSG:4326,
2022-02-13T09:23:51Z,,44,44,2022,2,13,,Australia,AU,Queensland,-23.156813,150.966659,EPSG:4326,
2022-11-25T14:00:00Z,4:30 AM,329,329,2022,11,25,,Australia,AU,Queensland,-23.245463,150.824066,EPSG:4326,
2022-11-19T14:00:00Z,5:29 AM,323,323,2022,11,19,,Australia,AU,Queensland,-22.13563,150.054829,EPSG:4326,
2022-11-19T14:00:00Z,5:34 AM,323,323,2022,11,19,,Australia,AU,Queensland,-22.13587,150.056292,EPSG:4326,
2022-12-08T14:00:00Z,,342,342,2022,12,8,,Australia,AU,Queensland,-23.244982,150.824133,EPSG:4326,
2022-11-17T14:00:00Z,15.26,321,321,2022,11,17,,Australia,AU,Queensland,-22.133667,150.051425,EPSG:4326,
2022-01-01T14:00:00Z,,1,1,2022,1,1,,Australia,AU,Queensland,-22.135397,150.054206,EPSG:4326,
2022-11-30T14:00:00Z,4:00 PM,334,334,2022,11,30,,Australia,AU,Queensland,-23.972766,151.411343,EPSG:4326,
2022-12-26T14:00:00Z,,360,360,2022,12,26,,Australia,AU,Queensland,-22.130907,150.048566,EPSG:4326,
2022-11-16T14:00:00Z,10:00 AM,320,320,2022,11,16,,Australia,AU,Queensland,-23.980136,151.419454,EPSG:4326,
2022-02-16T14:44:54Z,,47,47,2022,2,16,,Australia,AU,Queensland,-23.165123,150.95621,EPSG:4326,
2022-11-12T14:00:00Z,630,316,316,2022,11,12,,Australia,AU,Queensland,-23.224214,150.8191,EPSG:4326,
2022-01-01T19:26:37Z,,1,1,2022,1,1,,Australia,AU,Queensland,-22.134036,150.05175,EPSG:4326,
2022-12-11T14:00:00Z,515,345,345,2022,12,11,,Australia,AU,Queensland,-23.230653,150.819262,EPSG:4326,
2022-11-29T14:00:00Z,,333,333,2022,11,29,,Australia,AU,Queensland,-23.18227,150.93663,EPSG:4326,
2022-12-27T14:00:00Z,530,361,361,2022,12,27,,Australia,AU,Queensland,-23.234848,150.820663,EPSG:4326,
2022-11-27T14:00:00Z,11:32 AM,331,331,2022,11,27,,Australia,AU,Queensland,-23.10803,150.75172,EPSG:4326,
2022-11-23T14:00:00Z,4:55 AM,327,327,2022,11,23,,Australia,AU,Queensland,-23.245598,150.824163,EPSG:4326,
2022-11-23T14:00:00Z,8:15,327,327,2022,11,23,,Australia,AU,Queensland,-22.997267,150.775806,EPSG:4326,
2022-11-13T14:00:00Z,530,317,317,2022,11,13,,Australia,AU,Queensland,-23.229579,150.819236,EPSG:4326,
2022-11-17T14:00:00Z,5:45 PM,321,321,2022,11,17,,Australia,AU,Queensland,-22.132361,150.050167,EPSG:4326,
2022-01-09T07:32:41Z,,9,9,2022,1,9,,Australia,AU,Queensland,-23.957125,151.387159,EPSG:4326,
2022-01-02T14:00:00Z,,2,2,2022,1,2,,Australia,AU,Queensland,-22.134937,150.053128,EPSG:4326,
2022-01-09T14:00:00Z,,9,9,2022,1,9,,Australia,AU,Queensland,-23.189366,150.950921,EPSG:4326,
2022-12-02T14:00:00Z,4:56 PM,336,336,2022,12,2,,Australia,AU,Queensland,-23.181071,150.936308,EPSG:4326,
2022-11-19T14:00:00Z,5:25 AM,323,323,2022,11,19,,Australia,AU,Queensland,-22.135511,150.054365,EPSG:4326,
2022-11-20T14:00:00Z,4:56 AM,324,324,2022,11,20,,Australia,AU,Queensland,-23.243133,150.824578,EPSG:4326,
2022-11-26T14:00:00Z,5.30am,330,330,2022,11,26,,Australia,AU,Queensland,-23.961168,151.393088,EPSG:4326,
2022-12-17T14:00:00Z,9:16 AM,351,351,2022,12,17,,Australia,AU,Queensland,-23.182875,150.936886,EPSG:4326,
2022-01-09T14:00:00Z,,9,9,2022,1,9,,Australia,AU,Queensland,-23.19279,150.79207,EPSG:4326,
2022-11-29T14:00:00Z,530,333,333,2022,11,29,,Australia,AU,Queensland,-23.224419,150.819157,EPSG:4326,
2022-11-29T14:00:00Z,7:24 AM,333,333,2022,11,29,,Australia,AU,Queensland,-23.94838,151.377144,EPSG:4326,
2022-12-07T14:00:00Z,6:00 PM,341,341,2022,12,7,,Australia,AU,Queensland,-23.249544,150.823797,EPSG:4326,
2022-11-30T14:00:00Z,9:54 AM,334,334,2022,11,30,,Australia,AU,Queensland,-23.95052,151.379052,EPSG:4326,
2022-01-03T14:00:00Z,,3,3,2022,1,3,,Australia,AU,Queensland,-23.171447,150.942229,EPSG:4326,
2022-11-18T14:00:00Z,9:30 PM,322,322,2022,11,18,,Australia,AU,Queensland,-22.135706,150.054969,EPSG:4326,
2022-11-18T14:00:00Z,5:12 AM,322,322,2022,11,18,,Australia,AU,Queensland,-22.13478,150.052724,EPSG:4326,
2022-12-23T14:00:00Z,8:02 AM,357,357,2022,12,23,,Australia,AU,Queensland,-23.171997,150.946717,EPSG:4326,
